Host,Host_agg
Solanum lycopersicum,Solanaceae
Corchorus siliquosus,Malvaceae
Solanum lycopersicum var. cerasiforme,Solanaceae
Dicliptera vahliana,Acanthaceae
Euphorbia caput-medusae,Euphorbiaceae
Hordeum vulgare,Poaceae
Ipomoea batatas,Convolvulaceae
Alcea rosea,Malvaceae
Pouzolzia zeylanica,Urticaceae
Hibiscus cannabinus,Malvaceae
Passiflora edulis,Passifloraceae
Carica papaya,Caricaceae
Melinis repens,Poaceae
Cucumis sativus,Cucurbitaceae
Capsicum,Solanaceae
Croton hirtus,Euphorbiaceae
Malvastrum coromandelianum,Malvaceae
Vigna unguiculata,Fabaceae
Emilia sonchifolia,Asteraceae
Malva,Malvaceae
Zea mays,Poaceae
Hibiscus sp.,Malvaceae
Cucurbitaceae,Cucurbitaceae
Momordica charantia,Cucurbitaceae
Pombalia attenuata,Violaceae
Verbena,Verbenaceae
Sida,Malvaceae
Eleusine indica,Poaceae
Sorghum arundinaceum,Poaceae
Cicer arietinum,Fabaceae
Phaseolus vulgaris,Fabaceae
Ocimum gratissimum,Lamiaceae
Eupatorium makinoi,Asteraceae
Jacquemontia tamnifolia,Convolvulaceae
Datura inoxia,Solanaceae
Boerhavia coccinea,Nyctaginaceae
Dysphania ambrosioides,Chenopodiaceae
Jatropha curcas,Euphorbiaceae
Leonurus sibiricus,Lamiaceae
Breynia androgyna,Phyllanthaceae
Sida rhombifolia,Malvaceae
Sidastrum,Malvaceae
Asystasia gangetica,Acanthaceae
Plantago lanceolata,Plantaginaceae
Gossypium hirsutum,Malvaceae
Rhynchosia minima,Fabaceae
Clerodendrum cyrtophyllum,Lamiaceae
Nicotiana tabacum,Solanaceae
Jacquemontia,Convolvulaceae
Euphorbia pulcherrima,Euphorbiaceae
Duranta erecta,Verbenaceae
Pavonia,Malvaceae
Cnidoscolus urens,Euphorbiaceae
Triumfetta,Malvaceae
Mucuna pruriens var. utilis,Fabaceae
Synedrella nodiflora,Asteraceae
Desmodium,Fabaceae
Malachra capitata,Malvaceae
Macroptilium,Fabaceae
