Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
YP_010037468,Alphacoronavirus sp.,RefSeq,GCF_023124385.1,NC_054003,,"O'Dea,M., Prada,D., Jackson,B., Boyd,V., Baker,M.",2023-05-04,WA1087,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),1377,,,,spike protein,Australia,Australia,,,,2018,,PRJNA485481,spike protein [Alphacoronavirus sp.]
YP_010037474,Hipposideros pomona bat coronavirus CHB25,RefSeq,GCF_023141795.1,NC_054004,,"Li,B., Si,H.R., Zhu,Y., Yang,X.L., Anderson,D.E., Shi,Z.L., Wang,L.F., Zhou,P.",2023-05-04,CHB0025,Alphacoronavirus CHB25,Alphacoronavirus,Coronaviridae,ssRNA(+),1352,,,1,spike glycoprotein,China,China,,Hipposideros larvatus,,2018-03,,PRJNA485481,spike glycoprotein [Hipposideros pomona bat coronavirus CHB25]
YP_010037560,Tylonycteris bat coronavirus HKU33,RefSeq,GCF_023124615.1,NC_054015,,"Lau,S.K.P., Wong,A.C.P., Zhang,L., Luk,H.K.H., Kwok,J.S.L., Ahmed,S.S., Cai,J.P., Zhao,P.S.H., Teng,J.L.L., Tsui,S.K.W., Yuen,K.Y., Woo,P.C.Y., Li,K.S.M., Cai,J.-P.",2023-05-04,,Alphacoronavirus HKU33,Alphacoronavirus,Coronaviridae,ssRNA(+),1365,,,1,spike glycoprotein,China,China,,Tylonycteris robustula,feces,2015-09-09,,PRJNA485481,spike glycoprotein [Tylonycteris bat coronavirus HKU33]
YP_010115716,Bat alphacoronavirus,RefSeq,GCF_023148835.1,NC_055953,,"Bergner,L., Orton,R., Streicker,D.",2023-05-04,AMA_L_F,Bat alphacoronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1405,,,,spike protein,Peru,Peru,,Desmodus rotundus,,2015,,PRJNA485481,spike protein [Bat alphacoronavirus]
YP_010799343,Bat alphacoronavirus,RefSeq,GCF_023122875.1,NC_076629,,,2023-05-04,BtCoV/020_16/M.dau/FIN/2016,Bat alphacoronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1366,,,,spike protein,Finland: Mustasaari,Finland,,Myotis daubentonii,feces,2016-08-28,,PRJNA485481,spike protein [Bat alphacoronavirus]
YP_010799724,Alphacoronavirus sp.,RefSeq,GCF_023124395.1,NC_076684,,"O'Dea,M., Prada,D., Jackson,B., Boyd,V., Baker,M.",2023-05-04,WA2028,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),1387,,,,spike protein,Australia,Australia,,,,2018,,PRJNA485481,spike protein [Alphacoronavirus sp.]
YP_010799730,Alphacoronavirus sp.,RefSeq,GCF_023124405.1,NC_076685,,"O'Dea,M., Prada,D., Jackson,B., Boyd,V., Baker,M.",2023-05-04,WA3607,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),1389,,,,spike protein,Australia,Australia,,,,2018,,PRJNA485481,spike protein [Alphacoronavirus sp.]
YP_010799915,Pacific salmon nidovirus,RefSeq,GCF_023124525.1,NC_076697,SRR9216246,"Mordecai,G.J., Miller,K.M., DiCicco,E., Schulze,A.D., Kaukinen,K.H., Ming,T.J., Li,S., Tabata,A., Teffer,A., Ferguson,H.W., Suttle,C.A.",2023-05-04,H14,Alphapironavirus salmonis,Alphapironavirus,Coronaviridae,ssRNA(+),1213,,,,spike protein,Canada: Chilliwack River hatchery,Canada,,Oncorhynchus tshawytscha,,2013-10-21,SAMN11974798,PRJNA485481,MAG: spike protein [Pacific salmon nidovirus]
YP_009825051,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X.",2020-05-27,Tor2,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),1255,,,1,spike glycoprotein,Canada: Toronto,Canada,,Homo sapiens,,,,PRJNA485481,spike glycoprotein [SARS coronavirus Tor2]
YP_009824974,Wencheng Sm shrew coronavirus,RefSeq,GCF_012271635.1,NC_048211,,"Wang,W., Lin,X.D., Liao,Y., Guan,X.Q., Guo,W.P., Xing,J.G., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.",2020-05-15,Xingguo-74,Wencheng Sm shrew coronavirus,Alphacoronavirus,Coronaviridae,ssRNA(+),1134,,,1,spike glycoprotein,China,China,,Suncus murinus,,2015,,PRJNA485481,spike glycoprotein [Wencheng Sm shrew coronavirus]
